"PLANTID" "GARDENID" "YEAR" "SEASON" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"390" "GON_1130" "GON" 2022 "S2" 10.61 10.16 10
"391" "GON_1130" "GON" 2022 "S2" 9.68 8.43 4
"392" "GON_1130" "GON" 2022 "S2" 10.17 9.87 10
"393" "GON_1131" "GON" 2021 "S3" 10.59 7.24 10
"394" "GON_1132" "GON" 2022 "S2" 9.38 10.99 10
"395" "GON_1132" "GON" 2022 "S2" 13.04 10.15 10
"396" "GON_1132" "GON" 2022 "S2" 11.24 7.86 10
"397" "GON_1132" "GON" 2022 "S2" 10.58 7.59 9
"398" "GON_1134" "GON" 2022 "S2" 11.49 11.3 9
"399" "GON_1134" "GON" 2022 "S2" 11.99 10.35 8
"400" "GON_1135" "GON" 2022 "S2" 9.7 10.24 10
"401" "GON_1135" "GON" 2022 "S2" 10.03 9.96 10
"402" "GON_1135" "GON" 2022 "S2" 11.08 12 10
"403" "GON_1135" "GON" 2022 "S2" 8.14 8.67 9
"404" "GON_1135" "GON" 2022 "S2" 7.75 8.92 10
"405" "GON_1137" "GON" 2022 "S2" 10.74 10.07 10
"406" "GON_1137" "GON" 2022 "S2" 9.96 8.73 10
"407" "GON_1137" "GON" 2022 "S2" 8.26 8.03 10
"408" "GON_1140" "GON" 2022 "S2" 14.34 10.09 6
"409" "GON_1140" "GON" 2022 "S2" 10.95 10.17 9
"410" "GON_1140" "GON" 2022 "S2" 9.06 11.71 10
"411" "GON_1140" "GON" 2022 "S2" 11.79 10.71 9
"412" "GON_1141" "GON" 2022 "S2" 13.23 10.73 10
"413" "GON_1141" "GON" 2022 "S2" 13.5 12.71 10
"414" "GON_1141" "GON" 2022 "S2" 12.49 10.75 10
"415" "GON_1141" "GON" 2022 "S2" 13.3 12.51 10
